,time,application,angry,disgust,fear,happy,sad,surprise
1452,2022_07_23_16_56_21,Code,0.17,0.0,0.22,0.0,0.61,0.0
1453,2022_07_23_16_56_21,Code,0.22,0.0,0.22,0.0,0.5,0.06
1454,2022_07_23_16_56_22,Code,0.36,0.0,0.09,0.0,0.55,0.0
1455,2022_07_23_16_56_22,Code,0.16,0.0,0.11,0.0,0.74,0.0
1456,2022_07_23_16_56_22,Code,0.23,0.0,0.18,0.0,0.55,0.05
1457,2022_07_23_16_56_23,Code,0.2,0.0,0.04,0.0,0.76,0.0
1458,2022_07_23_16_56_23,Code,0.31,0.0,0.05,0.0,0.64,0.0
1459,2022_07_23_16_56_24,Code,0.21,0.0,0.07,0.0,0.71,0.0
1460,2022_07_23_16_56_24,Terminal,0.31,0.0,0.08,0.0,0.62,0.0
1461,2022_07_23_16_56_24,Terminal,0.28,0.0,0.07,0.0,0.64,0.0
1462,2022_07_23_16_56_25,Terminal,0.28,0.0,0.18,0.04,0.46,0.04
1463,2022_07_23_16_56_25,Terminal,0.28,0.0,0.16,0.0,0.56,0.0
1464,2022_07_23_16_56_25,Terminal,0.33,0.0,0.13,0.07,0.47,0.0
1465,2022_07_23_16_56_26,Terminal,0.28,0.0,0.14,0.0,0.56,0.0
1466,2022_07_23_16_56_26,Electron,0.3,0.0,0.1,0.1,0.5,0.0
1467,2022_07_23_16_56_27,Electron,0.28,0.0,0.14,0.07,0.5,0.0
1468,2022_07_23_16_56_27,Electron,0.33,0.0,0.0,0.0,0.67,0.0
1469,2022_07_23_16_56_28,Electron,0.25,0.0,0.0,0.0,0.75,0.0
1470,2022_07_23_16_56_28,Electron,0.31,0.0,0.23,0.15,0.23,0.08
1471,2022_07_23_16_56_28,Electron,0.25,0.0,0.08,0.0,0.57,0.08
1472,2022_07_23_16_56_29,Electron,0.3,0.0,0.1,0.0,0.6,0.0
1473,2022_07_23_16_56_29,Electron,0.28,0.0,0.12,0.06,0.35,0.18
1474,2022_07_23_16_56_29,Electron,0.44,0.0,0.11,0.11,0.22,0.11
1475,2022_07_23_16_56_30,Electron,0.67,0.0,0.0,0.0,0.33,0.0
1476,2022_07_23_16_56_30,Electron,0.6,0.0,0.0,0.0,0.4,0.0
1477,2022_07_23_16_56_31,Electron,0.41,0.0,0.05,0.0,0.54,0.0
1478,2022_07_23_16_56_31,Electron,0.36,0.0,0.0,0.0,0.64,0.0
1479,2022_07_23_16_56_31,Electron,0.42,0.0,0.04,0.0,0.54,0.0
1480,,,,,,,,
1481,2022_07_23_16_56_33,Electron,0.45,0.0,0.1,0.0,0.45,0.0
1482,2022_07_23_16_56_33,Terminal,0.64,0.0,0.0,0.0,0.36,0.0
1483,2022_07_23_16_56_33,Terminal,0.67,0.0,0.05,0.0,0.28,0.0
1484,2022_07_23_16_56_34,Terminal,0.6,0.0,0.05,0.0,0.35,0.0
1485,2022_07_23_16_56_34,Terminal,0.5,0.0,0.0,0.0,0.5,0.0
1486,2022_07_23_16_56_35,Terminal,0.46,0.0,0.0,0.0,0.54,0.0
1487,2022_07_23_16_56_35,Terminal,0.33,0.0,0.06,0.0,0.61,0.0
1488,2022_07_23_16_56_35,Terminal,0.53,0.0,0.05,0.0,0.42,0.0
1489,2022_07_23_16_56_36,Terminal,0.33,0.0,0.0,0.0,0.67,0.0
1490,2022_07_23_16_56_36,Code,0.17,0.0,0.0,0.0,0.83,0.0
1491,2022_07_23_16_56_37,Code,0.8,0.0,0.0,0.0,0.2,0.0
1492,2022_07_23_16_56_37,Code,0.52,0.0,0.1,0.0,0.35,0.03
1493,2022_07_23_16_56_37,Code,0.67,0.0,0.0,0.0,0.33,0.0
1494,2022_07_23_16_56_38,Electron,0.5,0.0,0.0,0.0,0.5,0.0
1495,2022_07_23_16_56_38,Electron,0.42,0.0,0.08,0.0,0.5,0.0
1496,2022_07_23_16_56_38,Electron,0.31,0.0,0.12,0.0,0.5,0.06
1497,2022_07_23_16_56_39,Electron,0.53,0.0,0.07,0.0,0.4,0.0
1498,2022_07_23_16_56_39,Electron,0.27,0.0,0.04,0.0,0.69,0.0
1499,2022_07_23_16_56_40,Code,0.64,0.0,0.07,0.0,0.28,0.0
1500,2022_07_23_16_56_40,Code,0.46,0.0,0.03,0.0,0.49,0.03
1501,2022_07_23_16_56_41,Code,0.48,0.0,0.08,0.0,0.4,0.04
1502,2022_07_23_16_56_41,Code,0.26,0.0,0.11,0.0,0.61,0.03
1503,2022_07_23_16_56_42,Code,0.28,0.0,0.06,0.0,0.61,0.06
1504,2022_07_23_16_56_42,Code,0.38,0.0,0.05,0.0,0.48,0.1
1505,2022_07_23_16_56_42,Code,0.28,0.0,0.06,0.0,0.59,0.06
1506,2022_07_23_16_56_43,Code,0.45,0.0,0.0,0.0,0.55,0.0
1507,2022_07_23_16_56_43,Code,0.32,0.0,0.09,0.0,0.59,0.0
1508,2022_07_23_16_56_44,Code,0.32,0.0,0.05,0.0,0.64,0.0
1509,2022_07_23_16_56_44,Code,0.19,0.0,0.12,0.0,0.69,0.0
1510,2022_07_23_16_56_45,Terminal,0.4,0.0,0.2,0.0,0.4,0.0
1511,2022_07_23_16_56_45,Terminal,0.27,0.0,0.09,0.0,0.55,0.09
1512,2022_07_23_16_56_46,Terminal,0.27,0.0,0.13,0.0,0.6,0.0
1513,2022_07_23_16_56_46,Terminal,0.36,0.0,0.07,0.07,0.5,0.0
1514,2022_07_23_16_56_46,Terminal,0.27,0.0,0.13,0.07,0.47,0.07
1515,2022_07_23_16_56_47,Terminal,0.38,0.0,0.08,0.08,0.46,0.0
1516,2022_07_23_16_56_47,Electron,0.6,0.0,0.07,0.07,0.2,0.07
1517,2022_07_23_16_56_48,Electron,0.69,0.0,0.04,0.04,0.23,0.0
1518,2022_07_23_16_56_48,Electron,0.88,0.0,0.02,0.0,0.1,0.0
1519,2022_07_23_16_56_49,Electron,0.67,0.0,0.03,0.0,0.3,0.0
1520,2022_07_23_16_56_49,Electron,0.71,0.0,0.02,0.02,0.24,0.0
1521,2022_07_23_16_56_50,Electron,0.66,0.0,0.03,0.0,0.31,0.0
1522,2022_07_23_16_56_50,Electron,0.63,0.0,0.0,0.0,0.37,0.0
1523,2022_07_23_16_56_51,Electron,0.66,0.0,0.0,0.0,0.34,0.0
1524,2022_07_23_16_56_52,Electron,0.83,0.0,0.02,0.0,0.15,0.0
1525,2022_07_23_16_56_52,Electron,0.62,0.0,0.01,0.0,0.37,0.0
1526,2022_07_23_16_56_53,Electron,0.61,0.0,0.01,0.0,0.37,0.0
1527,2022_07_23_16_56_53,Electron,0.6,0.0,0.01,0.0,0.39,0.0
1528,2022_07_23_16_56_54,Electron,0.84,0.0,0.01,0.0,0.14,0.0
1529,2022_07_23_16_56_54,Terminal,0.78,0.0,0.0,0.0,0.22,0.0
1530,2022_07_23_16_56_55,Terminal,0.84,0.0,0.03,0.0,0.13,0.0
1531,2022_07_23_16_56_55,Code,0.59,0.0,0.0,0.0,0.36,0.05
1532,2022_07_23_16_56_56,Code,0.27,0.0,0.07,0.0,0.67,0.0
1533,2022_07_23_16_56_57,Code,0.19,0.0,0.31,0.0,0.38,0.12
1534,2022_07_23_16_56_57,Code,0.12,0.0,0.38,0.0,0.5,0.0
1535,2022_07_23_16_56_58,Code,0.25,0.0,0.25,0.0,0.5,0.0
1536,2022_07_23_16_56_59,Code,0.17,0.0,0.5,0.0,0.33,0.0
1537,2022_07_23_16_56_59,Code,0.17,0.0,0.17,0.0,0.61,0.06
1538,2022_07_23_16_57_00,Code,0.33,0.0,0.11,0.0,0.56,0.0
1539,2022_07_23_16_57_01,Terminal,0.14,0.0,0.14,0.0,0.71,0.0
1540,2022_07_23_16_57_02,Terminal,0.14,0.0,0.14,0.0,0.56,0.14
1541,2022_07_23_16_57_02,Terminal,0.33,0.0,0.11,0.0,0.44,0.11
1542,2022_07_23_16_57_03,Terminal,0.28,0.0,0.14,0.0,0.28,0.28
1543,2022_07_23_16_57_03,Electron,0.28,0.0,0.14,0.0,0.56,0.0
1544,2022_07_23_16_57_04,Electron,0.33,0.0,0.11,0.0,0.56,0.0
1545,2022_07_23_16_57_04,Electron,0.42,0.0,0.08,0.0,0.5,0.0
1546,2022_07_23_16_57_05,Electron,0.42,0.0,0.03,0.0,0.56,0.0
1547,2022_07_23_16_57_05,Electron,0.41,0.0,0.04,0.0,0.56,0.0
1548,2022_07_23_16_57_06,Electron,0.45,0.0,0.0,0.0,0.55,0.0
1549,2022_07_23_16_57_06,Electron,0.26,0.0,0.0,0.0,0.74,0.0
1550,2022_07_23_16_57_07,Electron,0.51,0.0,0.03,0.0,0.46,0.0
1551,2022_07_23_16_57_07,Electron,0.4,0.0,0.02,0.0,0.57,0.0
1552,2022_07_23_16_57_08,Terminal,0.7,0.0,0.04,0.01,0.25,0.0
1553,2022_07_23_16_57_08,Terminal,0.43,0.0,0.02,0.0,0.56,0.0
1554,2022_07_23_16_57_09,Terminal,0.36,0.0,0.01,0.0,0.63,0.0
1555,2022_07_23_16_57_09,Terminal,0.4,0.0,0.04,0.0,0.56,0.0
1556,2022_07_23_16_57_10,Terminal,0.62,0.0,0.07,0.0,0.31,0.0
1557,2022_07_23_16_57_10,Terminal,0.34,0.0,0.16,0.0,0.47,0.03
1558,2022_07_23_16_57_11,Terminal,0.23,0.0,0.19,0.04,0.5,0.04
1559,2022_07_23_16_57_11,Terminal,0.16,0.0,0.33,0.0,0.47,0.04
1560,2022_07_23_16_57_12,Terminal,0.11,0.0,0.42,0.0,0.37,0.09
1561,2022_07_23_16_57_12,Terminal,0.03,0.0,0.56,0.0,0.39,0.02
1562,2022_07_23_16_57_13,Terminal,0.01,0.0,0.54,0.0,0.44,0.01
1563,2022_07_23_16_57_13,Terminal,0.01,0.0,0.72,0.0,0.25,0.02
1564,2022_07_23_16_57_14,Terminal,0.03,0.0,0.64,0.0,0.32,0.01
1565,2022_07_23_16_57_15,Terminal,0.11,0.0,0.36,0.0,0.48,0.04
1566,2022_07_23_16_57_15,Terminal,0.03,0.0,0.47,0.0,0.4,0.1
1567,2022_07_23_16_57_16,Terminal,0.04,0.0,0.6,0.0,0.34,0.01
1568,2022_07_23_16_57_16,Terminal,0.1,0.0,0.39,0.0,0.49,0.02
1569,2022_07_23_16_57_17,Terminal,0.04,0.0,0.52,0.0,0.43,0.01
1570,2022_07_23_16_57_17,Terminal,0.08,0.0,0.52,0.0,0.39,0.01
1571,2022_07_23_16_57_18,Terminal,0.03,0.0,0.57,0.0,0.35,0.03
1572,2022_07_23_16_57_18,Terminal,0.04,0.0,0.54,0.0,0.39,0.02
1573,2022_07_23_16_57_19,Terminal,0.43,0.0,0.21,0.0,0.28,0.07
1574,2022_07_23_16_57_19,Terminal,0.53,0.0,0.08,0.0,0.37,0.03
1575,2022_07_23_16_57_20,Finder,0.36,0.0,0.09,0.0,0.55,0.0
1576,2022_07_23_16_57_20,Electron,0.33,0.0,0.17,0.0,0.33,0.17
1577,2022_07_23_16_57_21,Electron,0.4,0.0,0.07,0.0,0.53,0.0
1578,2022_07_23_16_57_22,Electron,0.53,0.0,0.0,0.0,0.47,0.0
1579,2022_07_23_16_57_22,Electron,0.45,0.0,0.03,0.0,0.53,0.0
1580,2022_07_23_16_57_23,Electron,0.15,0.0,0.46,0.0,0.35,0.04
1581,2022_07_23_16_57_23,Electron,0.28,0.0,0.24,0.0,0.48,0.0
1582,2022_07_23_16_57_24,Electron,0.22,0.0,0.22,0.0,0.56,0.0
1583,2022_07_23_16_57_24,Terminal,0.37,0.0,0.12,0.02,0.46,0.02
1584,2022_07_23_16_57_25,Terminal,0.31,0.0,0.15,0.08,0.46,0.0
1585,2022_07_23_16_57_25,Terminal,0.28,0.0,0.17,0.03,0.5,0.03
1586,2022_07_23_16_57_26,Terminal,0.34,0.0,0.13,0.03,0.45,0.05
1587,2022_07_23_16_57_26,Terminal,0.21,0.0,0.28,0.0,0.33,0.19
1588,2022_07_23_16_57_27,Terminal,0.13,0.0,0.33,0.0,0.4,0.13
1589,2022_07_23_16_57_27,Terminal,0.25,0.0,0.2,0.15,0.2,0.2
1590,2022_07_23_16_57_28,Terminal,0.3,0.0,0.27,0.0,0.33,0.09
1591,2022_07_23_16_57_28,Terminal,0.17,0.0,0.33,0.0,0.42,0.08
1592,2022_07_23_16_57_29,Terminal,0.31,0.0,0.23,0.0,0.38,0.08
1593,2022_07_23_16_57_29,Terminal,0.31,0.0,0.25,0.0,0.44,0.0
1594,2022_07_23_16_57_30,Terminal,0.53,0.0,0.11,0.02,0.28,0.06
1595,2022_07_23_16_57_30,Terminal,0.56,0.0,0.11,0.0,0.33,0.0
1596,2022_07_23_16_57_31,Terminal,0.53,0.0,0.13,0.0,0.33,0.0
1597,2022_07_23_16_57_31,Terminal,0.61,0.0,0.1,0.0,0.28,0.01
1598,2022_07_23_16_57_31,Terminal,0.54,0.0,0.05,0.0,0.41,0.0
1599,2022_07_23_16_57_32,Terminal,0.47,0.0,0.06,0.0,0.47,0.0
1600,2022_07_23_16_57_32,Terminal,0.37,0.0,0.03,0.0,0.6,0.0
1601,2022_07_23_16_57_33,Terminal,0.41,0.0,0.08,0.0,0.52,0.0
1602,2022_07_23_16_57_33,Terminal,0.23,0.0,0.21,0.0,0.54,0.02
