,time,application,angry,disgust,fear,happy,sad,surprise
2569,2022_07_23_19_09_26,Electron,0.25,0.0,0.0,0.5,0.25,0.0
2570,2022_07_23_19_09_26,Electron,0.17,0.0,0.17,0.0,0.67,0.0
2571,2022_07_23_19_09_27,Electron,0.21,0.34,0.04,0.0,0.4,0.0
2572,2022_07_23_19_09_27,Electron,0.38,0.02,0.06,0.0,0.53,0.02
2573,2022_07_23_19_09_28,Electron,0.7,0.14,0.02,0.0,0.11,0.03
2574,2022_07_23_19_09_28,Electron,0.84,0.08,0.01,0.0,0.05,0.01
2575,2022_07_23_19_09_29,Electron,0.9,0.01,0.0,0.0,0.09,0.0
2576,2022_07_23_19_09_29,Electron,0.79,0.03,0.01,0.0,0.16,0.0
2577,2022_07_23_19_09_30,Electron,0.81,0.09,0.01,0.0,0.08,0.0
2578,2022_07_23_19_09_30,Electron,0.28,0.0,0.06,0.11,0.54,0.0
2579,2022_07_23_19_09_31,Electron,0.47,0.0,0.19,0.02,0.17,0.15
2580,2022_07_23_19_09_31,Electron,0.34,0.0,0.21,0.0,0.3,0.15
2581,2022_07_23_19_09_31,Electron,0.43,0.0,0.1,0.0,0.37,0.1
2582,2022_07_23_19_09_32,Electron,0.8,0.02,0.02,0.0,0.15,0.0
2583,2022_07_23_19_09_32,Electron,0.69,0.16,0.01,0.0,0.14,0.0
2584,2022_07_23_19_09_33,Electron,0.96,0.02,0.0,0.0,0.02,0.0
2585,2022_07_23_19_09_33,Electron,0.91,0.01,0.01,0.0,0.07,0.0
2586,2022_07_23_19_09_34,Electron,0.93,0.0,0.01,0.0,0.06,0.0
2587,2022_07_23_19_09_34,Electron,0.95,0.0,0.01,0.0,0.04,0.0
2588,2022_07_23_19_09_35,Electron,0.87,0.0,0.01,0.01,0.09,0.01
2589,2022_07_23_19_09_36,Electron,0.72,0.01,0.03,0.0,0.24,0.0
2590,2022_07_23_19_09_36,Electron,0.82,0.0,0.02,0.01,0.11,0.04
2591,2022_07_23_19_09_37,Electron,0.92,0.0,0.02,0.0,0.06,0.0
2592,2022_07_23_19_09_37,Electron,0.12,0.0,0.48,0.05,0.06,0.28
2593,2022_07_23_19_09_38,Electron,0.2,0.0,0.27,0.07,0.4,0.07
2594,2022_07_23_19_09_38,Electron,0.03,0.0,0.0,0.96,0.01,0.0
2595,2022_07_23_19_09_38,Electron,0.0,0.0,0.0,1.0,0.0,0.0
2596,2022_07_23_19_09_39,Electron,0.03,0.0,0.0,0.92,0.05,0.0
2597,2022_07_23_19_09_39,Electron,0.0,0.0,0.0,1.0,0.0,0.0
2598,2022_07_23_19_09_40,Electron,0.0,0.0,0.0,1.0,0.0,0.0
2599,2022_07_23_19_09_40,Electron,0.0,0.0,0.0,1.0,0.0,0.0
2600,2022_07_23_19_09_41,Electron,0.0,0.0,0.0,1.0,0.0,0.0
2601,2022_07_23_19_09_41,Electron,0.0,0.0,0.0,1.0,0.0,0.0
2602,2022_07_23_19_09_42,Electron,0.12,0.0,0.0,0.25,0.62,0.0
2603,2022_07_23_19_09_42,Electron,0.04,0.04,0.04,0.04,0.85,0.0
2604,2022_07_23_19_09_43,Electron,0.14,0.0,0.0,0.0,0.86,0.0
2605,2022_07_23_19_09_43,Electron,0.19,0.0,0.06,0.06,0.69,0.0
2606,2022_07_23_19_09_43,Electron,0.22,0.48,0.09,0.0,0.2,0.01
2607,2022_07_23_19_09_44,Electron,0.32,0.61,0.03,0.0,0.04,0.0
2608,2022_07_23_19_09_44,Electron,0.21,0.73,0.03,0.0,0.03,0.0
2609,2022_07_23_19_09_45,Electron,0.28,0.36,0.08,0.0,0.24,0.03
2610,2022_07_23_19_09_45,Electron,0.13,0.0,0.26,0.0,0.6,0.02
2611,2022_07_23_19_09_46,Electron,0.3,0.11,0.18,0.0,0.41,0.0
2612,2022_07_23_19_09_46,Electron,0.12,0.02,0.21,0.0,0.65,0.0
2613,2022_07_23_19_09_47,Electron,0.08,0.0,0.08,0.08,0.73,0.03
2614,2022_07_23_19_09_47,Electron,0.01,0.0,0.0,0.98,0.01,0.0
2615,2022_07_23_19_09_48,Electron,0.18,0.0,0.27,0.12,0.42,0.0
2616,2022_07_23_19_09_49,Electron,0.53,0.0,0.09,0.03,0.34,0.01
2617,2022_07_23_19_09_50,Electron,0.12,0.0,0.19,0.08,0.57,0.04
2618,2022_07_23_19_09_50,Electron,0.12,0.0,0.12,0.12,0.56,0.06
2619,2022_07_23_19_09_51,Electron,0.25,0.0,0.08,0.08,0.57,0.0
2620,2022_07_23_19_09_51,Electron,0.26,0.0,0.16,0.02,0.54,0.02
2621,2022_07_23_19_09_52,Terminal,0.18,0.0,0.09,0.0,0.73,0.0
2622,2022_07_23_19_09_52,Terminal,0.25,0.0,0.1,0.05,0.6,0.0
2623,2022_07_23_19_09_53,Terminal,0.17,0.0,0.17,0.05,0.51,0.1
2624,2022_07_23_19_09_53,Terminal,0.18,0.0,0.23,0.0,0.56,0.02
2625,2022_07_23_19_09_53,Terminal,0.19,0.0,0.37,0.0,0.28,0.15
2626,2022_07_23_19_09_54,Terminal,0.2,0.0,0.2,0.0,0.6,0.0
2627,2022_07_23_19_09_54,Terminal,0.18,0.0,0.27,0.0,0.45,0.09
2628,2022_07_23_19_09_55,Terminal,0.12,0.0,0.25,0.0,0.5,0.12
2629,2022_07_23_19_09_55,Terminal,0.14,0.0,0.21,0.0,0.43,0.21
2630,2022_07_23_19_09_56,Terminal,0.25,0.0,0.12,0.0,0.62,0.0
2631,2022_07_23_19_09_56,Terminal,0.17,0.0,0.17,0.0,0.67,0.0
2632,2022_07_23_19_09_57,Terminal,0.14,0.0,0.14,0.0,0.64,0.07
2633,2022_07_23_19_09_57,Terminal,0.14,0.0,0.09,0.0,0.77,0.0
2634,2022_07_23_19_09_58,Code,0.22,0.0,0.11,0.06,0.61,0.0
2635,2022_07_23_19_09_58,Code,0.17,0.0,0.11,0.06,0.67,0.0
2636,2022_07_23_19_09_59,Code,0.22,0.0,0.22,0.0,0.56,0.0
2637,2022_07_23_19_09_59,Code,0.14,0.0,0.14,0.14,0.56,0.0
2638,2022_07_23_19_09_59,Code,0.17,0.0,0.17,0.0,0.67,0.0
2639,2022_07_23_19_10_00,Code,0.2,0.0,0.2,0.0,0.6,0.0
2640,2022_07_23_19_10_00,Code,0.33,0.0,0.17,0.0,0.5,0.0
2641,2022_07_23_19_10_01,Code,0.18,0.0,0.12,0.06,0.59,0.06
2642,2022_07_23_19_10_01,Code,0.31,0.0,0.08,0.08,0.54,0.0
2643,2022_07_23_19_10_03,Code,0.35,0.0,0.05,0.0,0.6,0.0
2644,2022_07_23_19_10_03,Finder,0.3,0.0,0.05,0.0,0.65,0.0
2645,2022_07_23_19_10_04,Finder,0.25,0.0,0.06,0.0,0.69,0.0
2646,2022_07_23_19_10_04,Electron,0.33,0.0,0.14,0.0,0.52,0.0
2647,2022_07_23_19_10_05,Electron,0.13,0.0,0.04,0.0,0.83,0.0
2648,2022_07_23_19_10_05,Electron,0.4,0.0,0.1,0.0,0.5,0.0
2649,2022_07_23_19_10_06,Electron,0.33,0.0,0.07,0.07,0.53,0.0
2650,2022_07_23_19_10_06,Electron,0.02,0.0,0.0,0.92,0.05,0.02
2651,2022_07_23_19_10_07,Electron,0.01,0.0,0.0,0.95,0.03,0.01
2652,2022_07_23_19_10_07,Electron,0.0,0.0,0.0,0.99,0.0,0.01
2653,2022_07_23_19_10_08,Electron,0.32,0.0,0.11,0.08,0.45,0.05
2654,2022_07_23_19_10_08,Electron,0.0,0.0,0.0,1.0,0.0,0.0
2655,2022_07_23_19_10_09,Electron,0.0,0.0,0.0,0.98,0.0,0.02
2656,2022_07_23_19_10_09,Electron,0.0,0.0,0.0,0.99,0.0,0.01
2657,2022_07_23_19_10_10,Electron,0.01,0.0,0.0,0.95,0.03,0.0
2658,2022_07_23_19_10_10,Electron,0.01,0.0,0.01,0.94,0.03,0.0
2659,2022_07_23_19_10_11,Code,0.04,0.0,0.2,0.08,0.64,0.04
2660,2022_07_23_19_10_11,Code,0.05,0.0,0.08,0.03,0.82,0.03
2661,2022_07_23_19_10_11,Code,0.2,0.0,0.22,0.18,0.33,0.06
2662,2022_07_23_19_10_12,Code,0.22,0.0,0.17,0.0,0.5,0.11
2663,2022_07_23_19_10_12,Code,0.2,0.0,0.2,0.0,0.6,0.0
2664,2022_07_23_19_10_13,Code,0.13,0.0,0.28,0.0,0.5,0.09
2665,2022_07_23_19_10_13,Electron,0.21,0.0,0.09,0.02,0.63,0.05
2666,2022_07_23_19_10_14,Electron,0.18,0.0,0.06,0.0,0.73,0.03
2667,2022_07_23_19_10_14,Electron,0.31,0.0,0.15,0.0,0.46,0.08
2668,2022_07_23_19_10_15,Electron,0.0,0.0,0.17,0.0,0.67,0.17
2669,2022_07_23_19_10_15,Electron,0.0,0.0,0.0,0.0,1.0,0.0
2670,2022_07_23_19_10_16,Electron,0.0,0.0,0.0,0.0,1.0,0.0
2671,2022_07_23_19_10_16,Electron,0.09,0.0,0.18,0.0,0.73,0.0
2672,2022_07_23_19_10_17,Electron,0.0,0.0,0.2,0.0,0.8,0.0
2673,2022_07_23_19_10_17,Electron,0.12,0.0,0.12,0.0,0.75,0.0
2674,2022_07_23_19_10_18,Electron,0.11,0.0,0.11,0.0,0.78,0.0
2675,2022_07_23_19_10_18,Electron,0.1,0.0,0.2,0.0,0.7,0.0
2676,2022_07_23_19_10_19,Electron,0.11,0.0,0.11,0.0,0.78,0.0
2677,2022_07_23_19_10_19,Electron,0.0,0.0,0.17,0.0,0.83,0.0
2678,2022_07_23_19_10_19,Electron,0.0,0.0,0.2,0.0,0.8,0.0
2679,2022_07_23_19_10_20,Electron,0.09,0.0,0.09,0.0,0.82,0.0
2680,2022_07_23_19_10_20,Electron,0.0,0.0,0.2,0.0,0.8,0.0
2681,2022_07_23_19_10_21,Electron,0.11,0.0,0.22,0.0,0.44,0.22
2682,2022_07_23_19_10_23,Electron,0.17,0.0,0.17,0.17,0.5,0.0
2683,2022_07_23_19_10_23,Electron,0.12,0.0,0.28,0.04,0.54,0.0
2684,2022_07_23_19_10_23,Electron,0.07,0.0,0.02,0.87,0.04,0.0
2685,2022_07_23_19_10_24,Electron,0.12,0.0,0.21,0.09,0.56,0.03
2686,2022_07_23_19_10_24,Electron,0.12,0.0,0.12,0.12,0.65,0.0
2687,2022_07_23_19_10_25,Electron,0.05,0.0,0.05,0.75,0.15,0.0
2688,2022_07_23_19_10_25,Electron,0.0,0.0,0.0,1.0,0.0,0.0
2689,2022_07_23_19_10_26,Electron,0.18,0.0,0.11,0.28,0.35,0.09
2690,2022_07_23_19_10_26,Electron,0.02,0.0,0.17,0.0,0.01,0.8
2691,2022_07_23_19_10_27,Electron,0.1,0.0,0.23,0.06,0.19,0.42
2692,2022_07_23_19_12_06,Terminal,0.13,0.0,0.26,0.03,0.55,0.03
2693,2022_07_23_19_12_06,Terminal,0.2,0.0,0.05,0.1,0.65,0.0
2694,2022_07_23_19_12_07,Terminal,0.23,0.0,0.1,0.03,0.63,0.0
2695,2022_07_23_19_12_07,Terminal,0.31,0.0,0.12,0.12,0.44,0.0
2696,2022_07_23_19_12_08,Terminal,0.23,0.0,0.31,0.0,0.38,0.08
2697,2022_07_23_19_12_09,Electron,0.14,0.0,0.19,0.05,0.62,0.0
2698,2022_07_23_19_12_09,Electron,0.15,0.0,0.06,0.0,0.79,0.0
2699,2022_07_23_19_12_10,Electron,0.0,0.0,0.0,0.0,1.0,0.0
2700,2022_07_23_19_12_10,Electron,0.14,0.0,0.14,0.14,0.56,0.0
2701,2022_07_23_19_12_11,Terminal,0.25,0.0,0.0,0.0,0.75,0.0
2702,2022_07_23_19_12_11,Terminal,0.25,0.0,0.25,0.0,0.5,0.0
2703,2022_07_23_19_12_12,Code,0.33,0.0,0.0,0.0,0.67,0.0
2704,2022_07_23_19_12_13,Code,0.33,0.0,0.11,0.11,0.44,0.0
2705,2022_07_23_19_12_13,Code,0.25,0.0,0.25,0.0,0.5,0.0
2706,2022_07_23_19_12_14,Code,0.25,0.0,0.25,0.0,0.5,0.0
2707,2022_07_23_19_12_14,Code,0.25,0.0,0.25,0.0,0.5,0.0
2708,2022_07_23_19_12_15,Code,0.2,0.0,0.2,0.1,0.5,0.0
2709,2022_07_23_19_12_15,Code,0.5,0.0,0.0,0.0,0.5,0.0
2710,2022_07_23_19_12_16,Electron,0.18,0.0,0.09,0.18,0.45,0.09
2711,2022_07_23_19_12_16,Electron,0.0,0.0,0.0,0.0,1.0,0.0
2712,2022_07_23_19_12_17,Electron,0.0,0.0,0.0,0.0,1.0,0.0
2713,2022_07_23_19_12_18,Electron,0.0,0.0,0.0,0.0,1.0,0.0
2714,2022_07_23_19_12_18,Electron,0.0,0.0,0.0,0.0,1.0,0.0
2715,2022_07_23_19_12_19,Electron,0.0,0.0,0.0,0.0,1.0,0.0
2716,2022_07_23_19_12_19,Electron,0.25,0.0,0.12,0.0,0.62,0.0
2717,2022_07_23_19_12_20,Electron,0.25,0.0,0.25,0.0,0.5,0.0
2718,2022_07_23_19_12_22,Electron,0.25,0.0,0.25,0.0,0.5,0.0
2719,2022_07_23_19_12_22,Electron,0.27,0.0,0.27,0.0,0.45,0.0
2720,2022_07_23_19_12_23,Code,0.33,0.0,0.13,0.0,0.53,0.0
2721,2022_07_23_19_12_24,Code,0.33,0.0,0.11,0.0,0.56,0.0
2722,2022_07_23_19_12_24,Code,0.25,0.0,0.12,0.0,0.62,0.0
2723,2022_07_23_19_12_25,Code,0.5,0.0,0.0,0.0,0.5,0.0
2724,2022_07_23_19_12_26,Code,0.2,0.0,0.16,0.0,0.64,0.0
2725,2022_07_23_19_12_26,Code,0.16,0.0,0.16,0.03,0.57,0.06
2726,2022_07_23_19_12_27,Code,0.09,0.0,0.13,0.0,0.74,0.04
2727,2022_07_23_19_12_28,Code,0.2,0.0,0.04,0.0,0.72,0.04
2728,2022_07_23_19_12_28,Code,0.28,0.0,0.16,0.0,0.5,0.06
2729,2022_07_23_19_12_29,Code,0.19,0.0,0.14,0.0,0.64,0.03
2730,2022_07_23_19_12_29,Code,0.24,0.0,0.15,0.0,0.57,0.03
2731,2022_07_23_19_12_30,Code,0.24,0.0,0.1,0.0,0.65,0.01
2732,2022_07_23_19_12_30,Code,0.27,0.0,0.14,0.01,0.49,0.08
2733,2022_07_23_19_12_31,Code,0.37,0.0,0.05,0.09,0.46,0.03
2734,2022_07_23_19_12_31,Code,0.3,0.0,0.07,0.0,0.63,0.0
2735,2022_07_23_19_12_32,Code,0.19,0.0,0.13,0.0,0.68,0.0
2736,2022_07_23_19_12_33,Code,0.34,0.0,0.2,0.0,0.44,0.02
2737,2022_07_23_19_12_33,Code,0.23,0.0,0.19,0.0,0.56,0.01
2738,2022_07_23_19_12_34,Code,0.27,0.0,0.15,0.0,0.56,0.03
2739,2022_07_23_19_12_35,Code,0.17,0.0,0.07,0.06,0.57,0.12
2740,2022_07_23_19_12_35,Code,0.31,0.0,0.1,0.0,0.57,0.02
2741,2022_07_23_19_12_36,Code,0.28,0.0,0.2,0.0,0.4,0.12
2742,2022_07_23_19_12_36,Code,0.36,0.0,0.12,0.0,0.43,0.09
2743,2022_07_23_19_12_37,Code,0.36,0.0,0.12,0.03,0.47,0.03
2744,2022_07_23_19_12_37,Code,0.35,0.0,0.07,0.02,0.54,0.02
2745,2022_07_23_19_12_38,Code,0.1,0.0,0.09,0.0,0.67,0.15
2746,2022_07_23_19_12_38,Code,0.39,0.0,0.07,0.0,0.51,0.02
2747,2022_07_23_19_12_39,Code,0.18,0.0,0.05,0.02,0.71,0.04
2748,2022_07_23_19_12_39,Code,0.38,0.0,0.08,0.0,0.54,0.0
2749,2022_07_23_19_12_40,Code,0.27,0.0,0.05,0.0,0.67,0.0
2750,2022_07_23_19_12_41,Code,0.32,0.0,0.07,0.0,0.59,0.01
2751,2022_07_23_19_12_41,Code,0.2,0.0,0.07,0.0,0.72,0.0
2752,2022_07_23_19_12_42,Code,0.21,0.0,0.07,0.0,0.71,0.01
2753,2022_07_23_19_12_42,Code,0.44,0.0,0.11,0.0,0.43,0.02
2754,2022_07_23_19_12_43,Code,0.17,0.0,0.44,0.0,0.17,0.22
2755,2022_07_23_19_12_43,Code,0.2,0.0,0.14,0.02,0.56,0.06
2756,2022_07_23_19_12_44,Code,0.28,0.0,0.15,0.01,0.53,0.03
2757,2022_07_23_19_12_44,Code,0.22,0.0,0.15,0.02,0.56,0.05
2758,2022_07_23_19_12_45,Code,0.1,0.0,0.1,0.4,0.3,0.1
2759,2022_07_23_19_12_46,Code,0.27,0.0,0.1,0.0,0.59,0.04
2760,2022_07_23_19_12_47,Code,0.28,0.0,0.09,0.0,0.61,0.02
2761,2022_07_23_19_12_47,Code,0.23,0.0,0.07,0.0,0.66,0.05
2762,2022_07_23_19_12_48,Code,0.31,0.0,0.05,0.0,0.62,0.02
2763,2022_07_23_19_12_48,Code,0.12,0.0,0.17,0.08,0.57,0.04
2764,2022_07_23_19_12_49,Code,0.37,0.0,0.07,0.0,0.52,0.02
2765,2022_07_23_19_12_49,Code,0.21,0.0,0.04,0.0,0.72,0.02
2766,2022_07_23_19_12_50,Code,0.25,0.0,0.09,0.0,0.66,0.0
2767,2022_07_23_19_12_50,Code,0.33,0.01,0.26,0.07,0.3,0.02
2768,2022_07_23_19_12_51,Finder,0.42,0.0,0.07,0.0,0.5,0.01
2769,2022_07_23_19_12_52,Electron,0.3,0.0,0.07,0.0,0.59,0.04
2770,2022_07_23_19_12_52,Electron,0.21,0.0,0.05,0.0,0.74,0.0
2771,2022_07_23_19_12_53,Electron,0.31,0.0,0.1,0.09,0.41,0.09
2772,2022_07_23_19_12_54,Code,0.24,0.0,0.06,0.0,0.71,0.0
2773,2022_07_23_19_12_54,Code,0.3,0.0,0.1,0.0,0.6,0.0
2774,2022_07_23_19_12_55,Electron,0.41,0.0,0.05,0.0,0.54,0.0
2775,2022_07_23_19_12_56,Electron,0.26,0.0,0.3,0.0,0.35,0.09
2776,2022_07_23_19_12_56,Electron,0.19,0.0,0.1,0.03,0.68,0.0
2777,2022_07_23_19_12_58,Code,0.17,0.0,0.06,0.0,0.78,0.0
2778,2022_07_23_19_12_58,Code,0.39,0.0,0.11,0.0,0.5,0.0
2779,2022_07_23_19_12_59,Code,0.22,0.0,0.04,0.0,0.74,0.0
2780,2022_07_23_19_13_00,Code,0.24,0.0,0.11,0.0,0.61,0.04
2781,2022_07_23_19_13_01,Code,0.23,0.0,0.08,0.0,0.67,0.02
2782,2022_07_23_19_13_01,Code,0.31,0.0,0.06,0.0,0.6,0.02
2783,2022_07_23_19_13_02,Code,0.05,0.0,0.01,0.0,0.93,0.0
2784,2022_07_23_19_13_03,Code,0.08,0.0,0.03,0.0,0.89,0.0
2785,2022_07_23_19_13_03,Code,0.28,0.0,0.0,0.0,0.71,0.0
2786,2022_07_23_19_13_04,Code,0.27,0.0,0.27,0.0,0.45,0.0
2787,2022_07_23_19_13_04,Code,0.2,0.0,0.1,0.0,0.7,0.0
2788,2022_07_23_19_13_05,Code,0.08,0.0,0.08,0.0,0.85,0.0
2789,2022_07_23_19_13_06,Code,0.09,0.0,0.09,0.0,0.77,0.05
2790,2022_07_23_19_13_07,Code,0.39,0.0,0.1,0.0,0.51,0.0
2791,2022_07_23_19_13_07,Code,0.26,0.0,0.02,0.0,0.72,0.0
2792,2022_07_23_19_13_08,Code,0.46,0.0,0.05,0.07,0.4,0.01
2793,2022_07_23_19_13_09,Code,0.66,0.0,0.09,0.03,0.21,0.01
2794,2022_07_23_19_13_09,Code,0.18,0.0,0.24,0.02,0.56,0.0
2795,2022_07_23_19_13_10,Code,0.16,0.0,0.24,0.04,0.52,0.04
2796,2022_07_23_19_13_12,Code,0.15,0.0,0.1,0.05,0.65,0.05
2797,2022_07_23_19_13_13,Code,0.21,0.0,0.0,0.05,0.74,0.0
2798,2022_07_23_19_13_14,Code,0.13,0.0,0.03,0.03,0.81,0.0
2799,2022_07_23_19_13_15,Code,0.19,0.0,0.04,0.0,0.77,0.0
2800,2022_07_23_19_13_16,Code,0.69,0.0,0.05,0.07,0.17,0.01
2801,2022_07_23_19_13_17,Code,0.33,0.0,0.08,0.0,0.57,0.0
2802,2022_07_23_19_13_18,Code,0.26,0.0,0.03,0.0,0.71,0.0
2803,2022_07_23_19_13_19,Code,0.2,0.0,0.04,0.0,0.74,0.02
2804,2022_07_23_19_13_20,Code,0.42,0.0,0.14,0.0,0.35,0.09
2805,2022_07_23_19_13_21,Code,0.3,0.0,0.03,0.0,0.67,0.0
2806,2022_07_23_19_13_22,Code,0.15,0.0,0.08,0.0,0.77,0.0
2807,2022_07_23_19_13_23,Code,0.25,0.0,0.2,0.05,0.45,0.05
2808,2022_07_23_19_13_23,Code,0.27,0.0,0.27,0.0,0.47,0.0
2809,2022_07_23_19_13_24,Code,0.14,0.0,0.14,0.0,0.71,0.0
2810,2022_07_23_19_13_25,Code,0.28,0.0,0.14,0.0,0.56,0.0
2811,2022_07_23_19_13_25,Code,0.21,0.0,0.05,0.05,0.68,0.0
2812,2022_07_23_19_13_26,Code,0.21,0.0,0.21,0.07,0.5,0.0
2813,2022_07_23_19_13_27,Code,0.2,0.0,0.1,0.0,0.7,0.0
2814,2022_07_23_19_13_27,Code,0.2,0.0,0.1,0.0,0.7,0.0
2815,2022_07_23_19_13_28,Code,0.27,0.0,0.09,0.0,0.64,0.0
2816,2022_07_23_19_13_28,Code,0.13,0.0,0.17,0.02,0.65,0.02
2817,2022_07_23_19_13_29,Code,0.35,0.0,0.08,0.0,0.57,0.0
2818,2022_07_23_19_13_30,Code,0.01,0.0,0.0,0.94,0.03,0.01
2819,2022_07_23_19_13_30,Code,0.09,0.0,0.06,0.44,0.41,0.0
2820,2022_07_23_19_13_31,Code,0.25,0.0,0.21,0.28,0.18,0.07
2821,2022_07_23_19_13_32,Code,0.17,0.0,0.26,0.02,0.52,0.04
2822,2022_07_23_19_13_33,Code,0.25,0.0,0.08,0.08,0.57,0.0
2823,2022_07_23_19_13_34,Code,0.3,0.0,0.2,0.1,0.4,0.0
2824,2022_07_23_19_13_34,Code,0.17,0.0,0.17,0.08,0.5,0.08
2825,2022_07_23_19_13_35,Code,0.1,0.0,0.1,0.0,0.8,0.0
2826,2022_07_23_19_13_35,Code,0.1,0.0,0.15,0.0,0.75,0.0
2827,2022_07_23_19_13_36,Code,0.17,0.0,0.17,0.08,0.5,0.08
2828,2022_07_23_19_13_37,Code,0.14,0.0,0.14,0.0,0.71,0.0
2829,2022_07_23_19_13_37,Code,0.2,0.0,0.1,0.0,0.65,0.05
2830,2022_07_23_19_13_38,Code,0.09,0.0,0.07,0.02,0.83,0.0
2831,2022_07_23_19_13_38,Terminal,0.2,0.0,0.07,0.0,0.73,0.0
2832,2022_07_23_19_13_38,Terminal,0.1,0.0,0.03,0.0,0.86,0.0
2833,2022_07_23_19_13_39,Terminal,0.23,0.0,0.08,0.0,0.69,0.0
2834,2022_07_23_19_13_39,Terminal,0.09,0.0,0.05,0.0,0.86,0.0
2835,2022_07_23_19_13_40,Terminal,0.22,0.0,0.11,0.0,0.67,0.0
2836,2022_07_23_19_13_40,Terminal,0.21,0.0,0.12,0.0,0.67,0.0
2837,2022_07_23_19_13_41,Terminal,0.17,0.0,0.11,0.0,0.72,0.0
2838,2022_07_23_19_13_41,Electron,0.22,0.0,0.11,0.0,0.67,0.0
2839,2022_07_23_19_13_42,Electron,0.2,0.0,0.3,0.1,0.4,0.0
2840,2022_07_23_19_13_42,Electron,0.28,0.0,0.14,0.0,0.56,0.0
2841,2022_07_23_19_13_43,Electron,0.25,0.0,0.25,0.0,0.5,0.0
2842,2022_07_23_19_13_43,Electron,0.2,0.0,0.0,0.2,0.6,0.0
2843,2022_07_23_19_13_44,Electron,0.17,0.0,0.17,0.0,0.67,0.0
2844,2022_07_23_19_13_45,Electron,0.18,0.0,0.18,0.09,0.45,0.09
2845,2022_07_23_19_13_45,Electron,0.5,0.0,0.12,0.12,0.25,0.0
2846,2022_07_23_19_13_46,Terminal,0.11,0.0,0.07,0.04,0.78,0.0
2847,2022_07_23_19_13_46,Terminal,0.14,0.0,0.25,0.0,0.54,0.07
2848,2022_07_23_19_13_47,Terminal,0.06,0.0,0.11,0.64,0.19,0.0
2849,2022_07_23_19_13_48,Terminal,0.62,0.0,0.04,0.02,0.3,0.01
2850,2022_07_23_19_13_48,Terminal,0.09,0.0,0.09,0.24,0.59,0.0
2851,2022_07_23_19_13_49,Electron,0.5,0.0,0.12,0.06,0.31,0.0
2852,2022_07_23_19_13_50,Electron,0.27,0.0,0.23,0.0,0.49,0.01
2853,2022_07_23_19_13_51,Electron,0.41,0.0,0.09,0.01,0.49,0.0
2854,2022_07_23_19_13_52,Electron,0.2,0.0,0.13,0.0,0.67,0.0
2855,2022_07_23_19_13_53,Electron,0.07,0.0,0.36,0.0,0.5,0.07
2856,2022_07_23_19_13_54,Electron,0.0,0.0,0.2,0.0,0.8,0.0
2857,2022_07_23_19_13_55,Electron,0.19,0.0,0.19,0.03,0.45,0.13
2858,2022_07_23_19_13_55,Electron,0.12,0.0,0.12,0.12,0.62,0.0
2859,2022_07_23_19_13_56,Electron,0.12,0.0,0.12,0.0,0.75,0.0
2860,2022_07_23_19_13_56,Electron,0.09,0.0,0.09,0.0,0.82,0.0
2861,2022_07_23_19_13_57,Electron,0.12,0.0,0.16,0.0,0.68,0.04
2862,2022_07_23_19_13_57,Electron,0.23,0.0,0.23,0.08,0.46,0.0
2863,2022_07_23_19_13_58,Electron,0.14,0.0,0.2,0.02,0.5,0.14
2864,2022_07_23_19_13_58,Electron,0.0,0.0,0.25,0.0,0.75,0.0
2865,2022_07_23_19_13_59,Electron,0.0,0.0,0.2,0.0,0.8,0.0
2866,2022_07_23_19_13_59,Electron,0.1,0.0,0.3,0.1,0.5,0.0
2867,2022_07_23_19_14_00,Electron,0.12,0.0,0.12,0.0,0.75,0.0
2868,2022_07_23_19_14_00,Electron,0.12,0.0,0.12,0.0,0.75,0.0
2869,2022_07_23_19_14_00,Electron,0.23,0.0,0.15,0.15,0.46,0.0
2870,2022_07_23_19_14_01,Terminal,0.19,0.0,0.1,0.05,0.67,0.0
2871,2022_07_23_19_14_01,Terminal,0.14,0.0,0.09,0.0,0.77,0.0
2872,2022_07_23_19_14_02,Terminal,0.2,0.0,0.2,0.0,0.4,0.2
2873,2022_07_23_19_14_02,Code,0.0,0.0,0.0,0.25,0.75,0.0
2874,2022_07_23_19_14_03,Code,0.5,0.0,0.0,0.0,0.5,0.0
2875,2022_07_23_19_14_03,Code,0.27,0.0,0.09,0.0,0.64,0.0
2876,2022_07_23_19_14_04,Code,0.15,0.0,0.1,0.0,0.75,0.0
2877,2022_07_23_19_14_04,Code,0.0,0.0,0.25,0.0,0.5,0.25
2878,2022_07_23_19_14_05,Code,0.24,0.0,0.1,0.05,0.56,0.05
2879,2022_07_23_19_14_05,Code,0.12,0.0,0.12,0.04,0.68,0.04
2880,2022_07_23_19_14_06,Code,0.12,0.0,0.13,0.01,0.69,0.04
2881,2022_07_23_19_14_06,Code,0.32,0.0,0.16,0.02,0.41,0.09
2882,2022_07_23_19_14_06,Code,0.5,0.0,0.0,0.0,0.5,0.0
2883,2022_07_23_19_14_07,Code,0.24,0.0,0.1,0.0,0.66,0.0
2884,2022_07_23_19_14_08,Code,0.42,0.0,0.08,0.03,0.4,0.07
2885,2022_07_23_19_14_08,Code,0.15,0.0,0.03,0.0,0.82,0.0
2886,2022_07_23_19_14_08,Code,0.09,0.0,0.05,0.0,0.85,0.0
2887,2022_07_23_19_14_09,Code,0.13,0.0,0.07,0.0,0.79,0.02
2888,2022_07_23_19_14_09,Code,0.09,0.0,0.03,0.0,0.83,0.06
