2022-07-23 23:31:16,468 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:16] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:16,469 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:16,469 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:16,469 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:16,469 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:16] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:16,970 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:16] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:16,971 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:16,971 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:16,972 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:16,972 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:16] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:17,479 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:17] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:17,480 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:17,480 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:17,484 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:17,484 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:17] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:17,980 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:17] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:17,980 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:17,981 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:17,981 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:17,981 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:17] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:18,485 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:18] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:18,487 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:18,487 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:18,488 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:18,488 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:18] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:18,990 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:18] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:18,991 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:18,991 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:18,991 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:18,991 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:18] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:19,497 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:19] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:19,497 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:19,498 | main.py->isAngry():30 | WARNING | True
2022-07-23 23:31:19,498 | server.py->isAngry():28 | WARNING | 1
2022-07-23 23:31:19,498 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:19] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:20,000 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:20] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:20,000 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:20,001 | main.py->isAngry():30 | WARNING | True
2022-07-23 23:31:20,001 | server.py->isAngry():28 | WARNING | 1
2022-07-23 23:31:20,001 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:20] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:20,504 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:20] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:20,505 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:20,506 | main.py->isAngry():30 | WARNING | True
2022-07-23 23:31:20,506 | server.py->isAngry():28 | WARNING | 1
2022-07-23 23:31:20,506 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:20] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:21,008 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:21] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:21,008 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:21,008 | main.py->isAngry():30 | WARNING | True
2022-07-23 23:31:21,009 | server.py->isAngry():28 | WARNING | 1
2022-07-23 23:31:21,009 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:21] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:21,511 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:21] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:21,511 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:21,512 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:21,512 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:21,512 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:21] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:22,014 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:22] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:22,014 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:22,015 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:22,015 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:22,015 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:22] "POST /isangry HTTP/1.1" 200 -
